TYPE,Month_Year,TICKET_COUNT,WG2
M,02-25,324,Unknown
M,03-25,445,Unknown
M,04-25,517,Unknown
M,05-25,340,Unknown
M,06-25,337,Unknown
M,07-25,17,Unknown
M,08-25,842,Unknown
M,09-25,503,Unknown
M,10-25,416,Unknown
M,11-25,416,Unknown
M,12-25,442,Unknown
M,01-26,418,Unknown
P,02-25,2368,Unknown
P,03-25,3095,Unknown
P,04-25,3101,Unknown
P,05-25,3071,Unknown
P,06-25,2955,Unknown
P,08-25,3437,Unknown
P,09-25,4041,Unknown
P,10-25,3490,Unknown
P,11-25,2947,Unknown
P,12-25,2893,Unknown
P,01-26,3444,Unknown
