TYPE,Month_Year,TICKET_COUNT,WG2
M,02-25,274,Unknown
M,03-25,420,Unknown
M,04-25,443,Unknown
M,05-25,309,Unknown
M,06-25,305,Unknown
M,07-25,402,Unknown
M,08-25,679,Unknown
M,09-25,406,Unknown
M,10-25,469,Unknown
M,11-25,412,Unknown
M,12-25,436,Unknown
M,01-26,241,Unknown
P,02-25,2099,Unknown
P,03-25,2980,Unknown
P,04-25,2627,Unknown
P,05-25,2703,Unknown
P,06-25,2595,Unknown
P,07-25,3413,Unknown
P,08-25,2720,Unknown
P,09-25,3937,Unknown
P,10-25,3325,Unknown
P,11-25,2924,Unknown
P,12-25,2874,Unknown
P,01-26,3368,Unknown
