Month Year,Arrest Count,Charge Category
February 2025,4,Assault
February 2025,17,Other
February 2025,3,Theft
February 2025,8,Warrant
March 2025,8,Assault
March 2025,1,Burglary
March 2025,1,Drug Related
March 2025,14,Other
March 2025,1,Robbery
March 2025,1,Theft
March 2025,17,Warrant
April 2025,6,Assault
April 2025,1,Burglary
April 2025,5,Drug Related
April 2025,21,Other
April 2025,5,Theft
April 2025,16,Warrant
April 2025,1,Weapons
May 2025,10,Assault
May 2025,2,Drug Related
May 2025,27,Other
May 2025,5,Theft
May 2025,12,Warrant
May 2025,1,Weapons
June 2025,2,Assault
June 2025,1,Drug Related
June 2025,23,Other
June 2025,1,Robbery
June 2025,6,Theft
June 2025,10,Warrant
June 2025,1,Weapons
July 2025,6,Assault
July 2025,1,Drug Related
July 2025,28,Other
July 2025,2,Theft
July 2025,8,Warrant
August 2025,9,Assault
August 2025,3,Drug Related
August 2025,22,Other
August 2025,1,Robbery
August 2025,3,Theft
August 2025,15,Warrant
August 2025,1,Weapons
September 2025,10,Assault
September 2025,3,Burglary
September 2025,2,Drug Related
September 2025,22,Other
September 2025,1,Robbery
September 2025,4,Theft
September 2025,9,Warrant
September 2025,2,Weapons
October 2025,8,Assault
October 2025,4,Drug Related
October 2025,29,Other
October 2025,5,Theft
October 2025,6,Warrant
November 2025,11,Assault
November 2025,3,Drug Related
November 2025,23,Other
November 2025,9,Theft
November 2025,5,Warrant
November 2025,2,Weapons
December 2025,6,Assault
December 2025,20,Other
December 2025,5,Theft
December 2025,10,Warrant
January 2026,9,Assault
January 2026,2,Burglary
January 2026,1,Drug Related
January 2026,17,Other
January 2026,1,Robbery
January 2026,3,Theft
January 2026,9,Warrant
February 2026,8,Assault
February 2026,1,Burglary
February 2026,2,Drug Related
February 2026,25,Other
February 2026,5,Theft
February 2026,16,Warrant
February 2026,1,Weapons
